Case_ID,Case_Text,Case_Type,Favor_Result
1,Ownership conflict over government land between petitioner and respondent filed in district court.,Ownership Conflict,Government
2,Boundary dispute over agricultural land against a private company filed in district court.,Land Dispute,Government
3,Survey number mismatch over government land involving the state government filed in district court.,Land Dispute,Petitioner
4,Title deed forgery over government land between two private parties filed in district court.,Survey Error,Petitioner
5,Ownership conflict over commercial land between petitioner and respondent filed in district court.,Land Dispute,Respondent
6,Survey number mismatch over residential land involving the state government filed in district court.,Ownership Conflict,Government
7,Illegal possession over residential land between petitioner and respondent filed in district court.,Survey Error,Respondent
8,Survey number mismatch over private property against local municipality filed in district court.,Survey Error,Government
9,Survey number mismatch over agricultural land between two private parties filed in district court.,Ownership Conflict,Petitioner
10,Ownership conflict over private property involving the state government filed in district court.,Survey Error,Respondent
11,Boundary dispute over agricultural land against local municipality filed in district court.,Ownership Conflict,Government
12,Illegal possession over government land involving the state government filed in district court.,Ownership Conflict,Respondent
13,Ownership conflict over private property involving the state government filed in district court.,Land Dispute,Petitioner
14,Title deed forgery over commercial land against a private company filed in district court.,Land Dispute,Petitioner
15,Illegal possession over government land between two private parties filed in district court.,Land Dispute,Respondent
16,Boundary dispute over agricultural land between petitioner and respondent filed in district court.,Ownership Conflict,Government
17,Title deed forgery over private property between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
18,Survey number mismatch over government land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
19,Illegal possession over private property against local municipality filed in district court.,Ownership Conflict,Petitioner
20,Boundary dispute over private property between petitioner and respondent filed in district court.,Survey Error,Respondent
21,Title deed forgery over commercial land involving the state government filed in district court.,Land Dispute,Government
22,Survey number mismatch over government land against a private company filed in district court.,Ownership Conflict,Government
23,Survey number mismatch over agricultural land involving the state government filed in district court.,Survey Error,Respondent
24,Ownership conflict over agricultural land involving the state government filed in district court.,Land Dispute,Petitioner
25,Boundary dispute over agricultural land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
26,Survey number mismatch over commercial land against a private company filed in district court.,Survey Error,Respondent
27,Illegal possession over agricultural land between petitioner and respondent filed in district court.,Survey Error,Government
28,Ownership conflict over private property between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
29,Title deed forgery over government land against local municipality filed in district court.,Ownership Conflict,Respondent
30,Ownership conflict over agricultural land against a private company filed in district court.,Land Dispute,Petitioner
31,Boundary dispute over government land against local municipality filed in district court.,Ownership Conflict,Government
32,Ownership conflict over government land against local municipality filed in district court.,Land Dispute,Government
33,Ownership conflict over commercial land between petitioner and respondent filed in district court.,Ownership Conflict,Government
34,Boundary dispute over agricultural land against a private company filed in district court.,Land Dispute,Respondent
35,Boundary dispute over government land involving the state government filed in district court.,Survey Error,Government
36,Title deed forgery over commercial land against a private company filed in district court.,Ownership Conflict,Respondent
37,Ownership conflict over government land involving the state government filed in district court.,Survey Error,Government
38,Title deed forgery over agricultural land involving the state government filed in district court.,Land Dispute,Petitioner
39,Ownership conflict over private property between petitioner and respondent filed in district court.,Land Dispute,Petitioner
40,Survey number mismatch over residential land against a private company filed in district court.,Ownership Conflict,Petitioner
41,Illegal possession over commercial land against local municipality filed in district court.,Land Dispute,Respondent
42,Ownership conflict over government land between petitioner and respondent filed in district court.,Ownership Conflict,Respondent
43,Ownership conflict over agricultural land against local municipality filed in district court.,Ownership Conflict,Petitioner
44,Illegal possession over agricultural land between petitioner and respondent filed in district court.,Survey Error,Government
45,Title deed forgery over commercial land against local municipality filed in district court.,Land Dispute,Respondent
46,Survey number mismatch over commercial land against local municipality filed in district court.,Ownership Conflict,Government
47,Illegal possession over government land against a private company filed in district court.,Survey Error,Government
48,Boundary dispute over commercial land involving the state government filed in district court.,Ownership Conflict,Respondent
49,Title deed forgery over private property involving the state government filed in district court.,Ownership Conflict,Respondent
50,Illegal possession over private property involving the state government filed in district court.,Survey Error,Petitioner
51,Title deed forgery over residential land between petitioner and respondent filed in district court.,Survey Error,Government
52,Ownership conflict over agricultural land involving the state government filed in district court.,Survey Error,Respondent
53,Ownership conflict over government land involving the state government filed in district court.,Land Dispute,Petitioner
54,Title deed forgery over commercial land between two private parties filed in district court.,Ownership Conflict,Respondent
55,Illegal possession over commercial land against local municipality filed in district court.,Land Dispute,Petitioner
56,Title deed forgery over private property between two private parties filed in district court.,Survey Error,Petitioner
57,Title deed forgery over private property against a private company filed in district court.,Land Dispute,Petitioner
58,Ownership conflict over government land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
59,Boundary dispute over private property between two private parties filed in district court.,Ownership Conflict,Government
60,Title deed forgery over government land between petitioner and respondent filed in district court.,Survey Error,Government
61,Title deed forgery over commercial land between petitioner and respondent filed in district court.,Survey Error,Government
62,Ownership conflict over government land between petitioner and respondent filed in district court.,Land Dispute,Government
63,Survey number mismatch over agricultural land against local municipality filed in district court.,Ownership Conflict,Government
64,Title deed forgery over government land between petitioner and respondent filed in district court.,Survey Error,Respondent
65,Illegal possession over residential land against a private company filed in district court.,Survey Error,Government
66,Survey number mismatch over private property involving the state government filed in district court.,Ownership Conflict,Petitioner
67,Survey number mismatch over private property against local municipality filed in district court.,Survey Error,Respondent
68,Boundary dispute over agricultural land between two private parties filed in district court.,Survey Error,Government
69,Title deed forgery over government land against local municipality filed in district court.,Survey Error,Respondent
70,Ownership conflict over residential land between two private parties filed in district court.,Survey Error,Respondent
71,Survey number mismatch over residential land between petitioner and respondent filed in district court.,Land Dispute,Respondent
72,Illegal possession over agricultural land against a private company filed in district court.,Ownership Conflict,Petitioner
73,Survey number mismatch over private property against local municipality filed in district court.,Land Dispute,Respondent
74,Ownership conflict over government land between petitioner and respondent filed in district court.,Land Dispute,Respondent
75,Ownership conflict over agricultural land between two private parties filed in district court.,Survey Error,Petitioner
76,Survey number mismatch over agricultural land against local municipality filed in district court.,Land Dispute,Petitioner
77,Ownership conflict over government land between petitioner and respondent filed in district court.,Land Dispute,Government
78,Ownership conflict over commercial land involving the state government filed in district court.,Ownership Conflict,Petitioner
79,Boundary dispute over commercial land involving the state government filed in district court.,Ownership Conflict,Petitioner
80,Survey number mismatch over residential land involving the state government filed in district court.,Land Dispute,Petitioner
81,Boundary dispute over government land against local municipality filed in district court.,Survey Error,Respondent
82,Survey number mismatch over private property between two private parties filed in district court.,Ownership Conflict,Petitioner
83,Survey number mismatch over residential land against a private company filed in district court.,Survey Error,Respondent
84,Survey number mismatch over commercial land involving the state government filed in district court.,Ownership Conflict,Petitioner
85,Illegal possession over residential land involving the state government filed in district court.,Survey Error,Petitioner
86,Boundary dispute over private property between two private parties filed in district court.,Land Dispute,Respondent
